distr,ds_abreviatura_orgao,CD_UF_ORGAO,ds_orgao,CD_CATEGORIA,DS_CATEGORIA_POR,CD_NIVEL,quantidade
1,AgParati,RJ,Agência da Capitania dos Portos em Paraty,1ON,PRIMEIRO OFICIAL DE NÁUTICA,8,2
1,AgParati,RJ,Agência da Capitania dos Portos em Paraty,MAC,MARINHEIRO AUXILIAR DE CONVÉS,2,873
1,AgParati,RJ,Agência da Capitania dos Portos em Paraty,CCB,CAPITÃO DE CABOTAGEM,9,1
1,AgParati,RJ,Agência da Capitania dos Portos em Paraty,PPI,PATRÃO DE PESCA NA NAVEGAÇÃO INTERIOR,5,4
1,AgParati,RJ,Agência da Capitania dos Portos em Paraty,1OM,PRIMEIRO OFICIAL DE MÁQUINAS,8,1
1,AgParati,RJ,Agência da Capitania dos Portos em Paraty,2OM,SEGUNDO OFICIAL DE MÁQUINAS,7,2
1,AgParati,RJ,Agência da Capitania dos Portos em Paraty,CDM,CONDUTOR DE MÁQUINAS,5,3
1,AgParati,RJ,Agência da Capitania dos Portos em Paraty,MFM,MARINHEIRO FLUVIAL DE MÁQUINAS,3,1
1,AgParati,RJ,Agência da Capitania dos Portos em Paraty,MNM,MARINHEIRO DE MÁQUINAS,4,7
1,AgParati,RJ,Agência da Capitania dos Portos em Paraty,MOC,MOÇO DE CONVÉS,3,20
1,AgParati,RJ,Agência da Capitania dos Portos em Paraty,PAP,PATRÃO DE PESCA EM ALTO MAR,6,1
1,AgParati,RJ,Agência da Capitania dos Portos em Paraty,MAM,MARINHEIRO AUXILIAR DE MÁQUINAS,2,9
1,AgParati,RJ,Agência da Capitania dos Portos em Paraty,MCB,MESTRE DE CABOTAGEM,6,3
1,AgParati,RJ,Agência da Capitania dos Portos em Paraty,MOP,MOTORISTA DE PESCA,1,1
1,AgParati,RJ,Agência da Capitania dos Portos em Paraty,POP,PESCADOR PROFISSIONAL,2,378
1,AgParati,RJ,Agência da Capitania dos Portos em Paraty,CZA,COZINHEIRO,2,2
1,AgParati,RJ,Agência da Capitania dos Portos em Paraty,MOM,MOÇO DE MÁQUINAS,3,1
1,AgParati,RJ,Agência da Capitania dos Portos em Paraty,POP,PESCADOR PROFISSIONAL,1,146
1,AgParati,RJ,Agência da Capitania dos Portos em Paraty,CTR,CONTRAMESTRE,5,1
1,AgParati,RJ,Agência da Capitania dos Portos em Paraty,MAC,MARINHEIRO AUXILIAR DE CONVÉS,1,396
1,AgParati,RJ,Agência da Capitania dos Portos em Paraty,MAF,MARINHEIRO FLUVIAL AUXILIAR DE CONVÉS,2,2
1,AgParati,RJ,Agência da Capitania dos Portos em Paraty,MGE,MERGULHADOR QUE OPERA COM AR COMPRIMIDO,3,9
1,AgParati,RJ,Agência da Capitania dos Portos em Paraty,PEP,PESCADOR PROFISSIONAL ESPECIALIZADO,3,4
1,AgParati,RJ,Agência da Capitania dos Portos em Paraty,2ON,SEGUNDO OFICIAL DE NÁUTICA,7,1
1,AgParati,RJ,Agência da Capitania dos Portos em Paraty,CPI,CONTRAMESTRE DE PESCA NA NAVEGAÇÃO INTERIOR,4,28
1,AgParati,RJ,Agência da Capitania dos Portos em Paraty,MOP,MOTORISTA DE PESCA,2,8
1,AgParati,RJ,Agência da Capitania dos Portos em Paraty,MNC,MARINHEIRO DE CONVÉS,4,94
1,CPRJ,RJ,Capitania dos Portos do Rio de Janeiro,MNM,MARINHEIRO DE MÁQUINAS,4,584
1,CPRJ,RJ,Capitania dos Portos do Rio de Janeiro,MGP,MERGULHADOR QUE OPERA COM MISTURA GASOSA ARTIFICIAL,4,48
1,CPRJ,RJ,Capitania dos Portos do Rio de Janeiro,MGE,MERGULHADOR QUE OPERA COM AR COMPRIMIDO,3,804
1,CPRJ,RJ,Capitania dos Portos do Rio de Janeiro,2OM,SEGUNDO OFICIAL DE MÁQUINAS,7,902
1,CPRJ,RJ,Capitania dos Portos do Rio de Janeiro,CCB,CAPITÃO DE CABOTAGEM,9,290
1,CPRJ,RJ,Capitania dos Portos do Rio de Janeiro,CZA,COZINHEIRO,2,425
1,CPRJ,RJ,Capitania dos Portos do Rio de Janeiro,MAC,MARINHEIRO AUXILIAR DE CONVÉS,1,208
1,CPRJ,RJ,Capitania dos Portos do Rio de Janeiro,PMC,PRATICANTE DE MOÇO DE CONVÉS,(null),32
1,CPRJ,RJ,Capitania dos Portos do Rio de Janeiro,PEP,PESCADOR PROFISSIONAL ESPECIALIZADO,3,17
1,CPRJ,RJ,Capitania dos Portos do Rio de Janeiro,PMM,PRATICANTE DE MOÇO DE MÁQUINAS,(null),5
1,CPRJ,RJ,Capitania dos Portos do Rio de Janeiro,POM,PRATICANTE DE OFICIAL DE MÁQUINAS,(null),6
1,CPRJ,RJ,Capitania dos Portos do Rio de Janeiro,CPI,CONTRAMESTRE DE PESCA NA NAVEGAÇÃO INTERIOR,4,30
1,CPRJ,RJ,Capitania dos Portos do Rio de Janeiro,CMP,CONDUTOR DE MOTORISTA DE PESCA,3,25
1,CPRJ,RJ,Capitania dos Portos do Rio de Janeiro,MAM,MARINHEIRO AUXILIAR DE MÁQUINAS,2,48
1,CPRJ,RJ,Capitania dos Portos do Rio de Janeiro,MFL,MESTRE FLUVIAL,5,1
1,CPRJ,RJ,Capitania dos Portos do Rio de Janeiro,POP,PESCADOR PROFISSIONAL,1,326
1,CPRJ,RJ,Capitania dos Portos do Rio de Janeiro,PRT,PRÁTICO,(null),61
1,CPRJ,RJ,Capitania dos Portos do Rio de Janeiro,MOM,MOÇO DE MÁQUINAS,3,95
1,CPRJ,RJ,Capitania dos Portos do Rio de Janeiro,ASA,AUXILIAR DE SAÚDE,3,14
1,CPRJ,RJ,Capitania dos Portos do Rio de Janeiro,2ON,SEGUNDO OFICIAL DE NÁUTICA,7,738
1,CPRJ,RJ,Capitania dos Portos do Rio de Janeiro,PAP,PATRÃO DE PESCA EM ALTO MAR,6,36
1,CPRJ,RJ,Capitania dos Portos do Rio de Janeiro,TAA,TAIFEIRO,2,374
1,CPRJ,RJ,Capitania dos Portos do Rio de Janeiro,CTR,CONTRAMESTRE,5,193
1,CPRJ,RJ,Capitania dos Portos do Rio de Janeiro,APP,APRENDIZ DE PESCA,1,15
1,CPRJ,RJ,Capitania dos Portos do Rio de Janeiro,CLC,CAPITÃO DE LONGO CURSO,10,404
1,CPRJ,RJ,Capitania dos Portos do Rio de Janeiro,MAM,MARINHEIRO AUXILIAR DE MÁQUINAS,1,19
1,CPRJ,RJ,Capitania dos Portos do Rio de Janeiro,MCB,MESTRE DE CABOTAGEM,6,565
1,CPRJ,RJ,Capitania dos Portos do Rio de Janeiro,MOP,MOTORISTA DE PESCA,2,84
1,CPRJ,RJ,Capitania dos Portos do Rio de Janeiro,MFC,MARINHEIRO FLUVIAL DE CONVÉS,3,3
1,CPRJ,RJ,Capitania dos Portos do Rio de Janeiro,1ON,PRIMEIRO OFICIAL DE NÁUTICA,8,855
1,CPRJ,RJ,Capitania dos Portos do Rio de Janeiro,ELC,ESTAGIÁRIO DE ELETRICISTA,6,2
1,CPRJ,RJ,Capitania dos Portos do Rio de Janeiro,MAF,MARINHEIRO FLUVIAL AUXILIAR DE CONVÉS,1,1
1,CPRJ,RJ,Capitania dos Portos do Rio de Janeiro,CDM,CONDUTOR DE MÁQUINAS,5,603
1,CPRJ,RJ,Capitania dos Portos do Rio de Janeiro,MAC,MARINHEIRO AUXILIAR DE CONVÉS,2,1046
1,CPRJ,RJ,Capitania dos Portos do Rio de Janeiro,PON,PRATICANTE DE OFICIAL DE NÁUTICA,(null),1
1,CPRJ,RJ,Capitania dos Portos do Rio de Janeiro,PPI,PATRÃO DE PESCA NA NAVEGAÇÃO INTERIOR,5,27
1,CPRJ,RJ,Capitania dos Portos do Rio de Janeiro,1OM,PRIMEIRO OFICIAL DE MÁQUINAS,8,475
1,CPRJ,RJ,Capitania dos Portos do Rio de Janeiro,ENF,ENFERMEIRO,5,147
1,CPRJ,RJ,Capitania dos Portos do Rio de Janeiro,MOP,MOTORISTA DE PESCA,1,5
1,CPRJ,RJ,Capitania dos Portos do Rio de Janeiro,MAF,MARINHEIRO FLUVIAL AUXILIAR DE CONVÉS,2,33
1,CPRJ,RJ,Capitania dos Portos do Rio de Janeiro,MNC,MARINHEIRO DE CONVÉS,4,1484
1,CPRJ,RJ,Capitania dos Portos do Rio de Janeiro,MOC,MOÇO DE CONVÉS,3,223
1,CPRJ,RJ,Capitania dos Portos do Rio de Janeiro,AMD,AGENTE DE MANOBRA E DOCAGEM,(null),2
1,CPRJ,RJ,Capitania dos Portos do Rio de Janeiro,ELT,ELETRICISTA,5,244
1,CPRJ,RJ,Capitania dos Portos do Rio de Janeiro,OSM,OFICIAL SUPERIOR DE MÁQUINAS,9,352
